"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"213","213",316,151,165,1,0,0,60,52,38,42,37,0,0,0,0,0,0,0,1,217,91,3,4,285
"214","214",3029,1670,1359,0,1,1,0,0,0,0,0,443,429,425,448,458,420,406,34,119,2781,16,79,2439
"215","215",969,495,474,0,1,0,0,0,0,0,0,325,334,310,0,0,0,0,86,223,509,33,118,735
"216","216",2198,425,1773,0,0,1,0,0,0,0,0,0,0,0,629,622,393,554,146,1487,436,38,91,1686
"217","217",2741,1458,1281,0,0,1,0,0,0,0,0,0,0,0,822,758,603,558,352,152,1882,197,158,2135
"218","218",6276,4586,1690,0,0,1,0,0,0,0,0,0,0,0,2079,1722,1178,1297,82,5527,446,161,60,4862
"219","219",728,370,358,0,0,1,0,0,0,0,0,0,0,0,182,191,186,169,49,168,486,5,20,553
"220","220",2865,1534,1331,0,0,1,0,0,0,0,0,0,0,0,787,739,673,666,98,1798,802,86,81,2506
"221","221",1704,897,807,0,1,0,0,0,0,0,0,562,575,567,0,0,0,0,24,1472,164,30,14,1320
"222","222",493,235,258,0,1,0,0,0,0,0,0,336,157,0,0,0,0,0,78,3,340,7,65,381
"223","223",321,125,196,0,1,0,0,0,0,0,0,123,118,80,0,0,0,0,4,261,47,8,1,240
"224","224",3128,1386,1742,0,0,1,0,0,0,0,0,0,0,0,794,814,785,735,374,1056,1286,66,346,2265
"225","225",3472,1770,1702,0,1,1,0,0,0,0,0,496,489,490,531,538,476,452,357,738,1405,145,827,1811
"226","226",1164,542,622,0,1,0,0,0,0,0,0,395,382,387,0,0,0,0,24,461,561,9,109,870
"227","227",3419,1711,1708,0,1,1,0,0,0,0,0,458,457,472,495,511,513,513,26,245,3084,14,50,3147
